id,year,index,magnitude,duration,rate,indexRegrowth,recoveryIndicator,regrowth60,regrowth80,regrowth100
165,2015,415,-2,17,-0.117647058823529,NaN,NaN,1,1,1
165,2019,561,-78,3,-26,NaN,NaN,NaN,NaN,NaN
166,2001,105,-664,1,-664,515,-0.775602409638554,1,3,NaN
167,2009,-33,-320,1,-320,281,-0.878125,1,4,4
167,2012,96,-68,2,-34,136,-2,1,1,1
167,2019,269,-76,6,-12.666666666666666,NaN,NaN,NaN,NaN,NaN
168,1985,-369,-693,1,-693,264,-0.380952380952381,15,22,24
169,1994,672,-34,10,-3.4,-269,7.911764705882353,NaN,NaN,NaN
169,1995,-302,-974,1,-974,737,-0.756673511293634,4,6,22
170,1986,-107,-54,2,-27,233,-4.314814814814815,1,1,1
170,2006,-262,-528,1,-528,285,-0.539772727272727,11,NaN,NaN
171,2001,645,-26,17,-1.529411764705882,29,-1.115384615384615,2,2,2
171,2002,453,-192,1,-192,221,-1.151041666666667,1,1,1
172,1997,79,-314,1,-314,397,-1.264331210191083,4,4,4
172,2019,304,-201,3,-67,NaN,NaN,NaN,NaN,NaN
173,2000,465,-217,8,-27.125,154,-0.709677419354839,1,8,NaN
173,2019,605,-8,18,-0.444444444444444,NaN,NaN,NaN,NaN,NaN
174,2008,-130,-484,1,-484,22,-0.045454545454545,NaN,NaN,NaN
175,1994,467,-250,10,-25,141,-0.564,11,17,NaN
175,1995,254,-213,1,-213,354,-1.661971830985915,1,1,1
176,2007,578,-152,23,-6.608695652173913,-150,0.986842105263158,NaN,NaN,NaN
176,2009,352,-226,2,-113,249,-1.101769911504425,4,5,5
177,2016,-225,-665,1,-665,NaN,NaN,NaN,NaN,NaN
178,1990,-127,-20,6,-3.333333333333333,759,-37.95,1,1,1
178,1994,-95,-577,3,-192.33333333333334,292,-0.506065857885615,1,1,1
178,1996,171,-461,1,-461,14,-0.030368763557484,9,NaN,NaN
179,1999,307,-195,15,-13,0,-0,8,14,14
179,2015,365,-280,2,-140,NaN,NaN,1,1,NaN
179,2019,497,-107,3,-35.666666666666664,NaN,NaN,NaN,NaN,NaN
180,2005,-82,-262,1,-262,28,-0.106870229007634,NaN,NaN,NaN
181,2013,-364,-547,1,-547,133,-0.243144424131627,NaN,NaN,NaN
182,2005,486,-59,21,-2.809523809523809,-618,10.474576271186441,NaN,NaN,NaN
182,2006,-574,-1060,1,-1060,442,-0.416981132075472,12,NaN,NaN
183,2009,122,-235,1,-235,-14,0.059574468085106,NaN,NaN,NaN
184,2002,666,-27,18,-1.5,-230,8.518518518518519,NaN,NaN,NaN
184,2003,48,-618,1,-618,388,-0.627831715210356,2,8,12
185,2001,-74,-342,1,-342,198,-0.578947368421053,1,1,NaN
185,2019,99,-116,17,-6.823529411764706,NaN,NaN,NaN,NaN,NaN
186,2004,193,-417,1,-417,67,-0.160671462829736,8,8,NaN
187,2005,-376,-822,1,-822,147,-0.178832116788321,NaN,NaN,NaN
188,1993,496,-152,9,-16.88888888888889,0,-0,7,18,NaN
189,1994,325,-287,2,-143.5,235,-0.818815331010453,1,1,NaN
189,2009,394,-171,1,-171,0,-0,7,NaN,NaN
190,2019,555,-73,35,-2.085714285714286,NaN,NaN,NaN,NaN,NaN
191,2019,516,-14,35,-0.4,NaN,NaN,NaN,NaN,NaN
192,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
193,1985,225,-165,1,-165,363,-2.2,1,1,1
194,2019,582,-5,35,-0.142857142857143,NaN,NaN,NaN,NaN,NaN
195,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
196,2008,373,-50,24,-2.083333333333333,235,-4.7,1,1,1
197,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
198,2011,-61,-605,1,-605,456,-0.753719008264463,1,NaN,NaN
199,2001,-115,-323,2,-161.5,204,-0.631578947368421,3,4,9
199,2015,84,-289,2,-144.5,NaN,NaN,1,1,1
200,2010,334,-247,1,-247,122,-0.493927125506073,2,NaN,NaN
201,1999,424,-209,2,-104.5,76,-0.363636363636364,2,2,NaN
201,2019,552,-63,18,-3.5,NaN,NaN,NaN,NaN,NaN
202,1986,78,-318,1,-318,-208,0.654088050314465,NaN,NaN,NaN
202,1990,-130,-208,4,-52,-62,0.298076923076923,NaN,NaN,NaN
202,2019,-198,-68,29,-2.344827586206896,NaN,NaN,NaN,NaN,NaN
203,2010,-521,-785,1,-785,380,-0.484076433121019,7,NaN,NaN
204,2008,-24,-484,1,-484,446.5,-0.922520661157025,2,3,NaN
204,2019,407,-1,8,-0.125,NaN,NaN,NaN,NaN,NaN
205,1995,-246,-502,1,-502,221,-0.440239043824701,10,17,20
205,2011,60,-90,5,-18,140,-1.555555555555556,1,1,1
205,2019,262,-70,4,-17.5,NaN,NaN,NaN,NaN,NaN
206,2001,628,-56,17,-3.294117647058823,-376,6.714285714285714,NaN,NaN,NaN
206,2002,-244,-872,1,-872,496,-0.568807339449541,8,15,NaN
207,1998,510,-70,14,-5,26,-0.371428571428571,2,2,2
207,1999,359,-151,1,-151,175,-1.158940397350993,1,1,1
207,2001,472,-198,1,-198,102,-0.515151515151515,4,4,NaN
208,2005,567,-166,1,-166,107,-0.644578313253012,5,NaN,NaN
208,2011,251,-423,1,-423,323,-0.763593380614657,4,6,NaN
209,1998,545,-124,1,-124,148,-1.193548387096774,2,2,2
210,2014,690,-24,30,-0.8,-453,18.875,NaN,NaN,NaN
210,2015,-309,-999,1,-999,NaN,NaN,NaN,NaN,NaN
211,1991,626,-14,7,-2,-628,44.857142857142854,NaN,NaN,NaN
211,1992,-321,-947,1,-947,728,-0.768743400211193,5,16,NaN
