id,year,value,magnitude,duration,rate,indexRegrowth,recoveryIndicator,regrowth60,regrowth80,regrowth100
48,2019,660,-6,35,-0.171428571428571,NaN,NaN,NaN,NaN,NaN
49,1994,321,-204,2,-102,-4.583333333333314,0.022467320261438,1,NaN,NaN
49,2006,310,-11,12,-0.916666666666667,-436.33333333333337,39.66666666666667,12,NaN,NaN
49,2007,-312,-622,1,-622,232.08333333333334,-0.373124330117899,11,NaN,NaN
50,2003,447,-88,8,-11,109.5,-1.244318181818182,2,2,2
50,2004,211,-236,1,-236,340.66666666666663,-1.443502824858757,1,1,1
50,2017,513,-58,12,-4.833333333333333,NaN,NaN,1,1,1
51,1992,469,-98,8,-12.25,137.12,-1.399183673469388,2,2,2
51,1993,298,-171,1,-171,308.15999999999997,-1.802105263157895,1,1,1
52,2007,-71,-363,2,-181.5,-2.5,0.006887052341598,NaN,NaN,NaN
52,2019,-77,-6,12,-0.5,NaN,NaN,NaN,NaN,NaN
53,1988,521,-167,1,-167,15.961538461538453,-0.095578074619991,1,10,NaN
53,2015,433,-171,1,-171,NaN,NaN,1,1,4
54,2019,611,-101,35,-2.885714285714286,NaN,NaN,NaN,NaN,NaN
55,2007,-211,-281,1,-281,105.83333333333333,-0.376631079478055,12,NaN,NaN
56,1997,-25,-590,1,-590,18.88888888888889,-0.032015065913371,11,NaN,NaN
56,2019,277,-73,11,-6.636363636363637,NaN,NaN,NaN,NaN,NaN
57,2009,486,-181,12,-15.083333333333334,149.625,-0.826657458563536,1,1,NaN
57,2019,610,-41,8,-5.125,NaN,NaN,NaN,NaN,NaN
58,2019,80,-44,24,-1.833333333333333,NaN,NaN,NaN,NaN,NaN
59,2005,476,-74,21,-3.523809523809524,-183,2.472972972972973,NaN,NaN,NaN
59,2006,-120,-596,1,-596,413,-0.692953020134228,3,NaN,NaN
60,2019,-78,-157,28,-5.607142857142857,NaN,NaN,NaN,NaN,NaN
61,2014,460,-277,1,-277,0,-0,1,NaN,NaN
62,2008,-156,-231,1,-231,77.27272727272727,-0.334513970877607,NaN,NaN,NaN
63,1999,-184,-308,1,-308,8,-0.025974025974026,NaN,NaN,NaN
64,2015,705,-71,31,-2.290322580645161,NaN,NaN,NaN,NaN,NaN
64,2016,-74,-779,1,-779,NaN,NaN,NaN,NaN,NaN
65,2019,413,-90,35,-2.571428571428572,NaN,NaN,NaN,NaN,NaN
66,2016,-59,-772,1,-772,NaN,NaN,NaN,NaN,NaN
66,2019,234,-107,1,-107,NaN,NaN,NaN,NaN,NaN
67,2016,-59,-652,1,-652,NaN,NaN,2,NaN,NaN
67,2019,366,-13,1,-13,NaN,NaN,NaN,NaN,NaN
68,2002,-60,-504,1,-504,282,-0.55952380952381,2,2,8
68,2009,114,-270,5,-54,297.22222222222223,-1.10082304526749,1,1,1
68,2019,264,-265,9,-29.444444444444443,NaN,NaN,NaN,NaN,NaN
69,1998,204,-11,14,-0.785714285714286,-327.2,29.745454545454546,NaN,NaN,NaN
69,1999,-162,-366,1,-366,48.5,-0.132513661202186,NaN,NaN,NaN
70,1999,70,-199,4,-49.75,126.66666666666669,-0.636515912897823,4,6,NaN
70,2006,-338,-560,1,-560,261.33333333333337,-0.466666666666667,NaN,NaN,NaN
70,2019,-146,-104,12,-8.666666666666666,NaN,NaN,NaN,NaN,NaN
71,2004,380,-187,2,-93.5,108.125,-0.578208556149733,1,4,NaN
71,2013,67,-486,1,-486,85,-0.174897119341564,NaN,NaN,NaN
72,2003,634,-92,19,-4.842105263157895,-155,1.684782608695652,2,7,NaN
72,2004,332,-302,1,-302,125,-0.413907284768212,1,1,7
72,2009,457,-88,4,-22,259.625,-2.950284090909091,1,1,1
73,2014,322,-244,24,-10.166666666666666,-348,1.426229508196721,NaN,NaN,NaN
73,2015,-165,-487,1,-487,NaN,NaN,NaN,NaN,NaN
74,1993,602,-57,9,-6.333333333333333,-23.375,0.410087719298246,3,4,25
74,1994,65,-537,1,-537,518.25,-0.965083798882682,2,3,10
74,2006,196,-415,1,-415,199.61538461538464,-0.481000926784059,5,8,11
75,2015,690,-48,31,-1.548387096774194,NaN,NaN,NaN,NaN,NaN
75,2016,355,-335,1,-335,NaN,NaN,NaN,NaN,NaN
76,1991,-48,-489,1,-489,455.5,-0.931492842535787,2,2,10
77,1997,583,-2,13,-0.153846153846154,-175.22222222222223,87.61111111111111,1,2,2
77,1998,400,-183,1,-183,24.555555555555543,-0.13418336369156,1,1,1
77,2001,391,-250,2,-125,83.88888888888891,-0.335555555555556,1,8,15
78,1990,-215,-862,1,-862,524.6666666666667,-0.608662026295437,15,NaN,NaN
78,2003,255,-82,12,-6.833333333333333,211.28571428571428,-2.576655052264808,1,1,1
79,1990,265,-72,6,-12,-358,4.972222222222222,26,NaN,NaN
79,1991,-151,-416,1,-416,72.5,-0.174278846153846,22,26,NaN
80,1990,-150,-115,6,-19.166666666666668,405.5,-3.526086956521739,11,11,11
