# Running on file ./src/test/resources/it/unibo/c2c/input.csv with args: maxError=75.0, maxSegments=6, startYear=1984, endYear=2019, infill=true, spikesTolerance=0.85, revertBand=false, negativeMagnitudeOnly=false
id, year, value, magnitude, duration, rate, postMagnitude, postDuration, postRate
68,1984,142,NaN,NaN,NaN,302,17,17.764705882352942
68,2001,444,302,17,17.764705882352942,-504,1,-504
68,2002,-60,-504,1,-504,444,2,222
68,2004,384,444,2,222,-270,5,-54
68,2009,114,-270,5,-54,415,1,415
68,2010,529,415,1,415,-265,9,-29.444444444444443
68,2019,264,-265,9,-29.444444444444443,NaN,NaN,NaN
69,1984,215,NaN,NaN,NaN,-11,14,-0.785714285714286
69,1998,204,-11,14,-0.785714285714286,-366,1,-366
69,1999,-162,-366,1,-366,194,20,9.7
69,2019,32,194,20,9.7,NaN,NaN,NaN
70,1984,-42,NaN,NaN,NaN,311,11,28.272727272727273
70,1995,269,311,11,28.272727272727273,-199,4,-49.75
70,1999,70,-199,4,-49.75,152,6,25.333333333333332
70,2005,222,152,6,25.333333333333332,-560,1,-560
70,2006,-338,-560,1,-560,296,1,296
70,2007,-42,296,1,296,-104,12,-8.666666666666666
70,2019,-146,-104,12,-8.666666666666666,NaN,NaN,NaN
71,1984,350,NaN,NaN,NaN,217,18,12.055555555555555
71,2002,567,217,18,12.055555555555555,-187,2,-93.5
71,2004,380,-187,2,-93.5,173,8,21.625
71,2012,553,173,8,21.625,-486,1,-486
71,2013,67,-486,1,-486,102,6,17
71,2019,169,102,6,17,NaN,NaN,NaN
72,1984,726,NaN,NaN,NaN,-92,19,-4.842105263157895
72,2003,634,-92,19,-4.842105263157895,-302,1,-302
72,2004,332,-302,1,-302,213,1,213
72,2005,545,213,1,213,-88,4,-22
72,2009,457,-88,4,-22,257,2,128.5
72,2011,714,257,2,128.5,7,8,0.875
72,2019,721,7,8,0.875,NaN,NaN,NaN
73,1984,274,NaN,NaN,NaN,292,6,48.666666666666664
73,1990,566,292,6,48.666666666666664,-244,24,-10.166666666666666
73,2014,322,-244,24,-10.166666666666666,-487,1,-487
73,2015,-165,-487,1,-487,139,4,34.75
73,2019,-26,139,4,34.75,NaN,NaN,NaN
74,1984,659,NaN,NaN,NaN,-57,9,-6.333333333333333
74,1993,602,-57,9,-6.333333333333333,-537,1,-537
74,1994,65,-537,1,-537,509,3,169.66666666666666
74,1997,574,509,3,169.66666666666666,37,8,4.625
74,2005,611,37,8,4.625,-415,1,-415
74,2006,196,-415,1,-415,519,13,39.92307692307692
74,2019,715,519,13,39.92307692307692,NaN,NaN,NaN
75,1984,738,NaN,NaN,NaN,-48,31,-1.548387096774194
75,2015,690,-48,31,-1.548387096774194,-335,1,-335
75,2016,355,-335,1,-335,0,3,0
75,2019,355,0,3,0,NaN,NaN,NaN
76,1984,351,NaN,NaN,NaN,90,6,15
76,1990,441,90,6,15,-489,1,-489
76,1991,-48,-489,1,-489,433,2,216.5
76,1993,385,433,2,216.5,195,26,7.5
76,2019,580,195,26,7.5,NaN,NaN,NaN
77,1984,585,NaN,NaN,NaN,-2,13,-0.153846153846154
77,1997,583,-2,13,-0.153846153846154,-183,1,-183
77,1998,400,-183,1,-183,241,1,241
77,1999,641,241,1,241,-250,2,-125
77,2001,391,-250,2,-125,302,18,16.77777777777778
77,2019,693,302,18,16.77777777777778,NaN,NaN,NaN
78,1984,425,NaN,NaN,NaN,222,5,44.4
78,1989,647,222,5,44.4,-862,1,-862
78,1990,-215,-862,1,-862,552,1,552
78,1991,337,552,1,552,-82,12,-6.833333333333333
78,2003,255,-82,12,-6.833333333333333,204,2,102
78,2005,459,204,2,102,34,14,2.428571428571428
78,2019,493,34,14,2.428571428571428,NaN,NaN,NaN
79,1984,337,NaN,NaN,NaN,-72,6,-12
79,1990,265,-72,6,-12,-416,1,-416
79,1991,-151,-416,1,-416,406,28,14.5
