# Running on file ./src/test/resources/it/unibo/c2c/input.csv with args: maxError=75.0, maxSegments=6, startYear=1984, endYear=2019, infill=true, spikesTolerance=0.85, revertBand=false, negativeMagnitudeOnly=true, postMetrics=false, regrowthMetrics=true
id, year, value, magnitude, duration, rate, indexRegrowth, recoveryIndicator, y2r60, y2r80, y2r100
151,1999,-238,-809,1,-809,382,-0.472187886279357,13,NaN,NaN
151,2011,127,-17,11,-1.545454545454545,226,-13.294117647058824,1,1,1
152,1997,527,-35,13,-2.692307692307693,-122.33333333333331,3.495238095238095,2,NaN,NaN
152,1998,320,-207,1,-207,91,-0.439613526570048,1,9,10
153,2007,-330,-643,1,-643,404,-0.628304821150855,NaN,NaN,NaN
154,2008,203,-14,19,-0.736842105263158,136,-9.714285714285714,1,1,1
154,2015,162,-215,5,-43,133,-0.618604651162791,1,1,1
154,2019,295,-86,3,-28.666666666666668,NaN,NaN,NaN,NaN,NaN
156,2006,-327,-703,1,-703,307.3333333333333,-0.437174016121385,NaN,NaN,NaN
157,2008,-211,-848,1,-848,0,-0,NaN,NaN,NaN
158,2006,-117,-550,1,-550,328,-0.596363636363636,NaN,NaN,NaN
158,2019,211,-45,12,-3.75,NaN,NaN,NaN,NaN,NaN
159,2015,391,-197,1,-197,69,-0.350253807106599,1,NaN,NaN
160,1995,671,-30,11,-2.727272727272727,-235,7.833333333333333,2,NaN,NaN
160,1996,268,-403,1,-403,168,-0.416873449131514,1,11,11
162,2010,89,-147,1,-147,0,-0,NaN,NaN,NaN
164,2019,522,-60,35,-1.714285714285714,NaN,NaN,NaN,NaN,NaN
165,1998,417,-204,1,-204,-68.33333333333331,0.334967320261438,3,11,18
165,2015,415,-2,17,-0.117647058823529,146,-73,1,1,1
165,2019,561,-78,3,-26,NaN,NaN,NaN,NaN,NaN
166,2001,105,-664,1,-664,565.6666666666666,-0.851907630522088,1,3,NaN
167,2009,-33,-320,1,-320,308.6666666666667,-0.964583333333333,4,4,4
167,2012,96,-68,2,-34,149,-2.191176470588236,1,1,1
167,2019,269,-76,6,-12.666666666666666,NaN,NaN,NaN,NaN,NaN
168,1985,-369,-693,1,-693,288.6666666666667,-0.416546416546417,22,24,24
169,1994,672,-34,10,-3.4,-302,8.882352941176471,6,NaN,NaN
169,1995,-302,-974,1,-974,749.3333333333333,-0.76933607118412,5,11,22
170,1986,-107,-54,2,-27,236,-4.37037037037037,1,1,1
170,2006,-262,-528,1,-528,234.33333333333334,-0.443813131313131,NaN,NaN,NaN
171,2001,645,-26,17,-1.529411764705882,29,-1.115384615384615,1,2,2
171,2002,453,-192,1,-192,215.33333333333337,-1.121527777777778,1,1,1
172,1997,79,-314,1,-314,377.3333333333333,-1.201698513800425,4,4,4
172,2019,304,-201,3,-67,NaN,NaN,NaN,NaN,NaN
173,2000,465,-217,8,-27.125,154,-0.709677419354839,1,1,NaN
173,2019,605,-8,18,-0.444444444444444,NaN,NaN,NaN,NaN,NaN
174,2008,-130,-484,1,-484,38.66666666666667,-0.079889807162534,NaN,NaN,NaN
175,1994,467,-250,10,-25,141,-0.564,2,3,NaN
175,1995,254,-213,1,-213,354,-1.661971830985915,1,1,1
176,2007,578,-152,23,-6.608695652173913,-121.33333333333331,0.798245614035088,6,NaN,NaN
176,2009,352,-226,2,-113,220,-0.973451327433628,1,4,5
177,2016,-225,-665,1,-665,NaN,NaN,NaN,NaN,NaN
178,1990,-127,-20,6,-3.333333333333333,363,-18.15,1,1,1
178,1994,-95,-577,3,-192.33333333333334,290,-0.502599653379549,1,1,1
178,1996,171,-461,1,-461,16,-0.03470715835141,9,NaN,NaN
179,1999,307,-195,15,-13,6.333333333333314,-0.032478632478632,1,8,14
179,2015,365,-280,2,-140,132,-0.471428571428571,1,1,NaN
179,2019,497,-107,3,-35.666666666666664,NaN,NaN,NaN,NaN,NaN
180,2005,-82,-262,1,-262,23.333333333333336,-0.089058524173028,NaN,NaN,NaN
181,2013,-364,-547,1,-547,133,-0.243144424131627,NaN,NaN,NaN
182,2005,486,-59,21,-2.809523809523809,-618,10.474576271186441,NaN,NaN,NaN
182,2006,-574,-1060,1,-1060,442,-0.416981132075472,NaN,NaN,NaN
183,2009,122,-235,1,-235,-0.333333333333329,0.001418439716312,NaN,NaN,NaN
184,2002,666,-27,18,-1.5,-230,8.518518518518519,3,NaN,NaN
184,2003,48,-618,1,-618,388,-0.627831715210356,2,8,12
185,2001,-74,-342,1,-342,198,-0.578947368421053,1,1,NaN
185,2019,99,-116,17,-6.823529411764706,NaN,NaN,NaN,NaN,NaN
186,2004,193,-417,1,-417,48,-0.115107913669065,8,8,NaN
187,2005,-376,-822,1,-822,168,-0.204379562043796,NaN,NaN,NaN
188,1993,496,-152,9,-16.88888888888889,0,-0,1,7,NaN
189,1994,325,-287,2,-143.5,235,-0.818815331010453,1,1,NaN
189,2009,394,-171,1,-171,-5,0.029239766081871,1,7,NaN
190,2019,555,-73,35,-2.085714285714286,NaN,NaN,NaN,NaN,NaN
191,2019,516,-14,35,-0.4,NaN,NaN,NaN,NaN,NaN
193,1985,225,-165,1,-165,363,-2.2,1,1,1
194,2019,582,-5,35,-0.142857142857143,NaN,NaN,NaN,NaN,NaN
196,2008,373,-50,24,-2.083333333333333,235,-4.7,1,1,1
198,2011,-61,-605,1,-605,425.6666666666667,-0.703581267217631,3,NaN,NaN
199,2001,-115,-323,2,-161.5,226,-0.69969040247678,4,9,9
199,2015,84,-289,2,-144.5,473,-1.636678200692042,1,1,1
